                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64419,                 0.4009,                0.94655,                0.90978,                0.80528,                0.87345,                0.64379,                 1.0249,                0.55701,                 1.2509,               0.008317,               0.008317,               0.008317
                     36,                0.63731,                0.39573,                0.94235,                0.92821,                0.79278,                0.87596,                0.64524,                 1.0176,                0.55185,                 1.2545,              0.0082675,              0.0082675,              0.0082675
                     37,                0.63256,                0.39149,                0.94225,                0.91971,                0.80653,                0.87496,                0.64234,                 1.0194,                0.55717,                  1.245,               0.008218,               0.008218,               0.008218
                     38,                 0.6268,                0.38899,                0.93899,                0.92711,                0.79331,                 0.8704,                0.64602,                 1.0152,                 0.5461,                 1.2454,              0.0081685,              0.0081685,              0.0081685
                     39,                0.62487,                0.38507,                0.93647,                0.92343,                0.79795,                0.86881,                0.63908,                 1.0123,                0.54573,                 1.2472,               0.008119,               0.008119,               0.008119
                     40,                0.61777,                0.38046,                0.93796,                0.92765,                0.79465,                0.87738,                0.64589,                 1.0099,                0.55458,                 1.2467,              0.0080695,              0.0080695,              0.0080695
                     41,                0.61282,                0.37915,                0.93524,                0.91923,                0.79764,                0.87412,                0.64141,                 1.0079,                0.55166,                 1.2485,                0.00802,                0.00802,                0.00802
                     42,                 0.6096,                0.37855,                0.93252,                0.90757,                0.81453,                0.87423,                0.64999,                 1.0021,                0.54206,                 1.2442,              0.0079705,              0.0079705,              0.0079705
                     43,                0.60724,                0.37648,                0.92976,                0.91701,                0.80301,                0.87558,                0.65048,                 1.0029,                0.54229,                 1.2501,               0.007921,               0.007921,               0.007921
                     44,                 0.6034,                0.37354,                0.92948,                0.92775,                0.80473,                0.87769,                0.64826,                 1.0184,                 0.5493,                 1.2711,              0.0078715,              0.0078715,              0.0078715
                     45,                0.59505,                0.36984,                0.92784,                0.90768,                0.80819,                0.87843,                0.64827,                 1.0154,                 0.5443,                  1.269,               0.007822,               0.007822,               0.007822
                     46,                0.59033,                0.36505,                0.92529,                 0.9068,                0.82567,                0.88146,                0.65231,                 1.0007,                0.53037,                 1.2591,              0.0077725,              0.0077725,              0.0077725
                     47,                0.59186,                0.36651,                0.92544,                0.93782,                0.80461,                0.88006,                0.65048,                 0.9988,                0.53852,                 1.2578,               0.007723,               0.007723,               0.007723
                     48,                 0.5815,                0.36053,                0.91977,                0.90748,                 0.8054,                0.86962,                 0.6458,                 1.0008,                0.53951,                 1.2579,              0.0076735,              0.0076735,              0.0076735
                     49,                0.58218,                0.35995,                0.91912,                0.93448,                0.79575,                0.87663,                0.65113,                0.99682,                0.53735,                 1.2538,               0.007624,               0.007624,               0.007624
                     50,                0.57967,                 0.3588,                0.92026,                0.91148,                0.81529,                0.87744,                0.65338,                0.99577,                0.53305,                 1.2617,              0.0075745,              0.0075745,              0.0075745
                     51,                0.57309,                0.35667,                0.91754,                0.91918,                0.82014,                0.88251,                0.65817,                0.98915,                0.52807,                 1.2595,               0.007525,               0.007525,               0.007525
                     52,                 0.5741,                0.35767,                0.91935,                0.91022,                0.82211,                0.87538,                0.64958,                 0.9903,                 0.5306,                 1.2658,              0.0074755,              0.0074755,              0.0074755
                     53,                0.56752,                0.35148,                0.91833,                0.92181,                0.81199,                0.87786,                0.65078,                0.99649,                0.53929,                 1.2826,               0.007426,               0.007426,               0.007426
                     54,                0.56394,                0.34848,                0.91512,                0.89191,                0.83059,                0.87697,                0.64712,                0.99036,                0.53633,                 1.2714,              0.0073765,              0.0073765,              0.0073765
                     55,                0.56306,                0.34918,                  0.914,                0.91175,                0.81245,                0.87644,                0.64793,                0.98888,                 0.5335,                 1.2741,               0.007327,               0.007327,               0.007327
                     56,                0.55878,                0.34502,                0.91009,                0.92863,                0.81149,                0.87917,                 0.6521,                0.99059,                0.53201,                 1.2639,              0.0072775,              0.0072775,              0.0072775
                     57,                0.55519,                0.34247,                0.90991,                0.92943,                0.80886,                0.88028,                0.65419,                0.99105,                0.52244,                 1.2602,               0.007228,               0.007228,               0.007228
                     58,                 0.5503,                0.34178,                0.90555,                0.92778,                0.80789,                0.87886,                0.65548,                 1.0005,                 0.5292,                 1.2702,              0.0071785,              0.0071785,              0.0071785
                     59,                 0.5471,                0.33922,                0.90628,                0.91222,                0.81939,                0.87768,                0.65046,                 1.0026,                0.53219,                 1.2853,               0.007129,               0.007129,               0.007129
                     60,                0.54559,                0.33696,                0.90455,                0.89314,                0.83136,                0.87715,                0.65094,                0.99977,                0.52916,                 1.2776,              0.0070795,              0.0070795,              0.0070795
                     61,                0.54287,                0.33664,                0.90341,                0.93661,                0.79937,                 0.8813,                0.65449,                0.99764,                0.53436,                 1.2766,                0.00703,                0.00703,                0.00703
                     62,                0.54274,                0.33424,                0.90505,                 0.9397,                0.79325,                0.87982,                0.65619,                0.99425,                0.53299,                 1.2719,              0.0069805,              0.0069805,              0.0069805
                     63,                0.53731,                0.33046,                0.90172,                0.93381,                0.80637,                0.87903,                0.65963,                0.99768,                0.53565,                 1.2764,               0.006931,               0.006931,               0.006931
                     64,                0.53452,                0.33024,                0.90039,                0.92092,                0.80846,                0.88078,                0.65975,                0.99068,                0.52911,                 1.2741,              0.0068815,              0.0068815,              0.0068815
                     65,                0.53725,                0.33138,                 0.9036,                0.91899,                 0.8163,                0.88343,                0.65838,                0.99353,                 0.5325,                 1.2752,               0.006832,               0.006832,               0.006832
                     66,                 0.5332,                0.32769,                0.89926,                0.93108,                0.81399,                0.88344,                0.65871,                0.99129,                0.53256,                  1.272,              0.0067825,              0.0067825,              0.0067825
                     67,                0.52905,                0.32783,                0.90031,                 0.9261,                0.81375,                0.88376,                0.65958,                0.99016,                0.53491,                 1.2743,               0.006733,               0.006733,               0.006733
                     68,                0.52407,                0.32513,                0.89735,                 0.9321,                 0.8122,                0.88431,                0.65897,                0.99028,                0.53041,                 1.2759,              0.0066835,              0.0066835,              0.0066835
                     69,                0.52052,                0.32108,                0.89465,                0.92417,                0.81937,                0.88304,                0.65772,                0.99312,                0.53181,                 1.2776,               0.006634,               0.006634,               0.006634
                     70,                0.52119,                 0.3207,                0.89655,                0.93011,                0.81804,                0.88302,                0.65843,                0.99369,                 0.5347,                 1.2778,              0.0065845,              0.0065845,              0.0065845
                     71,                0.52131,                0.32202,                0.89546,                0.92303,                0.81147,                0.88203,                0.65867,                0.99588,                0.53112,                 1.2814,               0.006535,               0.006535,               0.006535
                     72,                0.51581,                0.31821,                 0.8958,                 0.9198,                0.81159,                0.88004,                0.65952,                0.99724,                0.52809,                 1.2834,              0.0064855,              0.0064855,              0.0064855
                     73,                0.51503,                0.31906,                0.89415,                0.89616,                0.82616,                0.88149,                0.65839,                0.99706,                0.53056,                 1.2846,               0.006436,               0.006436,               0.006436
                     74,                0.51202,                0.31862,                0.89308,                0.92545,                0.81043,                0.88078,                0.65819,                0.99714,                0.53264,                 1.2829,              0.0063865,              0.0063865,              0.0063865
                     75,                0.51021,                0.31483,                 0.8912,                0.92351,                 0.8135,                0.88235,                0.65774,                 0.9965,                0.53467,                 1.2803,               0.006337,               0.006337,               0.006337
                     76,                0.50373,                0.31232,                0.88862,                  0.924,                0.81044,                0.88287,                0.65742,                0.99481,                0.53527,                 1.2809,              0.0062875,              0.0062875,              0.0062875
                     77,                0.50374,                0.31292,                0.88776,                0.92759,                0.80532,                0.88233,                0.65618,                0.99396,                0.53405,                 1.2787,               0.006238,               0.006238,               0.006238
                     78,                0.50501,                0.31193,                0.89052,                0.92906,                0.80597,                0.88148,                0.65508,                0.99231,                0.53261,                 1.2811,              0.0061885,              0.0061885,              0.0061885
                     79,                0.50404,                0.31375,                0.89162,                0.92536,                 0.8083,                0.88209,                0.65498,                0.99328,                0.53238,                 1.2846,               0.006139,               0.006139,               0.006139
                     80,                0.50449,                0.31309,                0.88861,                0.92901,                0.80904,                0.88178,                0.65529,                0.99584,                0.53638,                 1.2869,              0.0060895,              0.0060895,              0.0060895
